filename,tree_height_m,dbh_cm,crown_width_m_E,branch_clearance_m_E,crown_height_m_E,crown_width_m_W,branch_clearance_m_W,crown_height_m_W,crown_width_m_N,branch_clearance_m_N,crown_height_m_N,crown_width_m_S,branch_clearance_m_S,crown_height_m_S,V_m3,A_m2,Aproj_m2
1,13.55,19.88,2.23,7.18,11.67,2.72,6.98,10.16,1.87,7.49,10.81,2.29,6.65,10.57,50.43715234,85.98448944,13.273139
2,20.57,25.4,2.31,7.83,12.82,2.82,7.36,8.2,2.98,9.68,12.66,2.44,7.43,8.2,128.7793047,148.4872742,22.02352142
3,19.87,26.21,2.78,8.93,12.46,2.28,10.81,12.12,4.74,8.91,12.35,3.88,10.9,12.3,177.6699766,132.610405,27.93172073
4,19.31,21.79,2.72,7.89,12.44,2.23,8.81,10.51,2.74,8.81,10.51,3.35,7.89,12.44,95.07596875,107.1947174,19.87485313
5,19.33,25.17,3.14,9.77,12.4,2.57,10.49,12.24,3,8.6,12.52,2.45,9.73,12.05,62.59113281,83.49046326,21.37633705
6,17.58,19.04,2.74,9.1,11.01,2.24,9.62,11.44,3.15,8.21,11.86,2.58,9.7,10.52,71.0240625,90.88816071,21.38520622
7,18.56,21.26,2.61,9.33,11.45,2.13,10.07,11.55,1.97,10.01,11.34,2.4,9.12,11.83,48.42744141,73.73073578,15.90873432
8,21.59,28.26,3.31,8.54,12.71,2.71,10.5,13.2,3.97,10.5,13.2,3.25,11.64,13.06,126.695,138.6342468,33.70933533
9,17.61,19.61,2.1,9.63,11.42,2.57,9.15,11.3,2.28,8.74,11.27,2.58,8.59,11.45,59.03820703,83.85895538,16.56483078
10,19.77,24.25,2.78,7.17,12.4,2.28,10.82,12.89,2.74,7.49,12.62,2.24,10.82,12.89,72.1987207,41.65659332,18.1376667
11,17.3,17.95,2.03,9.22,13.03,2.48,7.45,11.62,2.69,8,12.07,2.2,9.02,12.58,71.74482031,96.87399292,15.22984314
12,17.35,22.57,3.01,8.12,11.57,2.46,9.41,9.08,3.26,8.14,10.53,2.67,9.12,9.72,57.42071094,79.64497375,21.52846146
13,18.73,24.3,2.11,10.02,12.49,2.52,9.96,11.86,2.43,6.89,12.35,1.99,9.96,11.86,50.13190625,72.04836273,15.54836941
14,17.34,26.54,2.04,8.57,11.8,1.78,8.67,11.84,1.79,9.28,11.7,2.19,7.3,11.7,17.34209375,40.71384811,10.54166508
15,19.39,27.6,2.46,10.37,10.96,3,9.19,11.26,2.42,10.74,12.14,2.46,10.74,11.3,57.68141797,79.7488327,16.99646378
16,13.95,21.16,1.79,7.42,9.22,2.18,6.87,9.43,2.45,6.79,8.61,2.2,6.77,10.04,21.89094922,48.926754,12.76286221
17,17.35,22.48,2.11,9.57,11.4,2.58,8.68,11.64,2.77,8.66,11.8,2.26,9.15,11.34,37.97960156,66.56902313,17.55858803
18,18.22,23.14,2.86,8.93,11.85,2.34,9.76,12.34,2.91,10.03,11.64,3.56,8.82,11.8,73.00190625,94.95865631,22.89333153
19,17.44,24.63,2.11,8.13,11.83,1.72,8.26,11.51,2.03,8.24,11.35,2.07,7.93,11.99,19.72407031,38.67909622,11.21628857
20,17.59,23.63,3.14,8.56,11.38,2.8,8.85,11.42,2.43,8.84,11.4,2.97,7.91,10.97,77.87921094,99.30736542,22.5169239
21,17.15,20.87,2.94,9.05,12.43,2.41,9.42,12.07,2.69,9.05,12.43,3.29,7.84,11.98,58.01934375,83.74211884,19.47585106
22,17.8,19.76,2.96,8.95,12.1,2.42,9.45,12.28,2.23,9.51,11.98,2.73,8.8,12.31,84.91102344,98.1388779,18.5689888
23,18.63,30.25,3.26,10.19,12.33,3.98,9.77,12.2,3.22,9.72,12.68,3.48,9.42,12.03,94.04366406,109.8567581,34.17554092
24,19.22,22.91,1.69,10.02,12.29,2.06,9.3,12.38,2.92,10.02,12.29,3.57,7.98,12.17,53.27611328,77.58586884,19.82344818
25,16.72,20.69,2.12,8.36,11.93,1.73,9.14,11.55,2.69,7.91,11.85,2.2,8.37,12.1,32.5292793,81.76570511,12.51186085
